sky130_fd_sc_lp__busdrivernovlp_20	A:I TE_B:I VGND:I VNB:I VPB:I VPWR:I Z:O
Name	Formula	nd	ng	ns	nb	mname	m	w	l	mult	sa	sb	sd	topography	area	perim
MI28	MOSFET	TE	TE_B	VGND	VNB	nfet_01v8	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MMN1	MOSFET	Z	net89	VGND	VNB	nfet_01v8	14	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI26	MOSFET	net89	TE_B	VGND	VNB	nfet_01v8	2	0.84	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI25	MOSFET	net89	A	VGND	VNB	nfet_01v8	2	0.84	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI24	MOSFET	net61	A	VGND	VNB	nfet_01v8	2	0.84	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI23	MOSFET	net57	net58	net61	VNB	nfet_01v8	2	0.84	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI22	MOSFET	net58	TE_B	VGND	VNB	nfet_01v8	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI21	MOSFET	net58	net89	VGND	VNB	nfet_01v8	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI13	MOSFET	net90	net57	net44	VNB	nfet_01v8	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI14	MOSFET	net44	TE	VGND	VNB	nfet_01v8	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MMP0	MOSFET	Z	net57	VPWR	VPB	pfet_01v8_hvt	20	1.26	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI27	MOSFET	TE	TE_B	VPWR	VPB	pfet_01v8_hvt	1	0.84	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI11	MOSFET	net90	net57	VPWR	VPB	pfet_01v8_hvt	1	0.84	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI20	MOSFET	net58	net89	net100	VPB	pfet_01v8_hvt	1	0.84	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI19	MOSFET	net100	TE_B	VPWR	VPB	pfet_01v8_hvt	1	0.84	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI10	MOSFET	net57	A	VPWR	VPB	pfet_01v8_hvt	2	1.26	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI18	MOSFET	net89	net90	net88	VPB	pfet_01v8_hvt	2	1.26	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI17	MOSFET	net88	A	VPWR	VPB	pfet_01v8_hvt	2	1.26	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI12	MOSFET	net90	TE	VPWR	VPB	pfet_01v8_hvt	1	0.84	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI9	MOSFET	net57	TE	VPWR	VPB	pfet_01v8_hvt	2	1.26	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
