sky130_fd_sc_lp__busdrivernovlpsleep_20	A:I SLEEP:I TE_B:I KAPWR:I VGND:I VNB:I VPB:I VPWR:I Z:O
Name	Formula	nd	ng	ns	nb	mname	m	w	l	mult	sa	sb	sd	topography	area	perim
MI33	MOSFET	TE	TE_B	VGND	VNB	nshort	2	0.84	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI31	MOSFET	TE	SLEEP	VGND	VNB	nshort	2	0.84	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI28	MOSFET	SLEEPB	SLEEP	net108	VNB	nshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MMN1	MOSFET	Z	net145	VGND	VNB	nshort	14	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI26	MOSFET	net145	TEB_INT	VGND	VNB	nshort	2	0.84	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI25	MOSFET	net145	A	VGND	VNB	nshort	2	0.84	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI24	MOSFET	net93	A	VGND	VNB	nshort	2	0.84	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI23	MOSFET	net89	net90	net93	VNB	nshort	2	0.84	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI22	MOSFET	net90	TEB_INT	VGND	VNB	nshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI21	MOSFET	net90	net145	VGND	VNB	nshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI13	MOSFET	net146	net89	net73	VNB	nshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI14	MOSFET	net73	TE	VGND	VNB	nshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI37	MOSFET	TEB_INT	TE	VGND	VNB	nshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI29	MOSFET	net108	SLEEP	VGND	VNB	nshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI36	MOSFET	TEB_INT	TE	KAPWR	VPB	phighvt	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI32	MOSFET	TE	TE_B	net116	VPB	phighvt	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI30	MOSFET	net116	SLEEP	VPWR	VPB	phighvt	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MMP0	MOSFET	Z	net89	VPWR	VPB	phighvt	20	1.26	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI27	MOSFET	SLEEPB	SLEEP	VPWR	VPB	phighvt	1	1.0	0.25	1	0.265	0.265	0.28	normal	0.063	1.14
MI11	MOSFET	net146	net89	VPWR	VPB	phighvt	1	0.84	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI20	MOSFET	net90	net145	net153	VPB	phighvt	1	0.84	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI39	MOSFET	net148	SLEEP	VPWR	VPB	phighvt	2	1.26	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI19	MOSFET	net153	TEB_INT	VPWR	VPB	phighvt	1	0.84	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI10	MOSFET	net89	A	net148	VPB	phighvt	2	1.26	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI18	MOSFET	net145	net146	net144	VPB	phighvt	2	1.26	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI17	MOSFET	net144	A	VPWR	VPB	phighvt	2	1.26	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI12	MOSFET	net146	TE	net136	VPB	phighvt	1	0.84	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI9	MOSFET	net89	TE	KAPWR	VPB	phighvt	2	1.26	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI38	MOSFET	net146	SLEEPB	KAPWR	VPB	phighvt	2	1.26	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI40	MOSFET	net136	SLEEP	VPWR	VPB	phighvt	1	0.84	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
