sky130_fd_sc_lp__isolatch_lp	D:I SLEEP_B:I KAPWR:I VGND:I VNB:I VPB:I VPWR:I Q:O
Name	Formula	nd	ng	ns	nb	mname	m	w	l	mult	sa	sb	sd	topography	area	perim
MI673	MOSFET	net53	net47	net81	VNB	nshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI677	MOSFET	Q	s0	net50	VNB	nshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI636	MOSFET	sleepneg	sleeppos	VGND	VNB	nshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI674	MOSFET	net47	s0	net69	VNB	nshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI19	MOSFET	s0	sleepneg	net65	VNB	nshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI20	MOSFET	net65	D	VGND	VNB	nshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI656	MOSFET	net69	s0	VGND	VNB	nshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI655	MOSFET	s0	sleeppos	net53	VNB	nshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI652	MOSFET	net50	s0	VGND	VNB	nshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI654	MOSFET	net81	net47	VGND	VNB	nshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI671	MOSFET	net37	SLEEP_B	VGND	VNB	nshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI670	MOSFET	sleeppos	SLEEP_B	net37	VNB	nshort	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI643	MOSFET	sleeppos	SLEEP_B	KAPWR	VPB	phighvt	1	0.64	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI635	MOSFET	sleepneg	sleeppos	KAPWR	VPB	phighvt	1	1.0	0.25	1	0.265	0.265	0.28	normal	0.063	1.14
MI662	MOSFET	net106	net47	KAPWR	VPB	phighvt	1	1.0	0.25	1	0.265	0.265	0.28	normal	0.063	1.14
MI664	MOSFET	s0	sleepneg	net106	VPB	phighvt	1	1.0	0.25	1	0.265	0.265	0.28	normal	0.063	1.14
MI658	MOSFET	net47	s0	KAPWR	VPB	phighvt	1	1.0	0.25	1	0.265	0.265	0.28	normal	0.063	1.14
MI663	MOSFET	Q	s0	KAPWR	VPB	phighvt	1	1.0	0.25	1	0.265	0.265	0.28	normal	0.063	1.14
MI17	MOSFET	s0	sleeppos	net86	VPB	phighvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
MI18	MOSFET	net86	D	VPWR	VPB	phighvt	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.063	1.14
