sky130_fd_sc_lp__nor4_lp	A:I B:I C:I D:I VGND:I VNB:I VPB:I VPWR:I Y:O
Name	Formula	nd	ng	ns	nb	mname	m	w	l	mult	sa	sb	sd	topography	area	perim
MMP0	MOSFET	VPWR	A	sndPA	VPB	pfet_01v8_hvt	1	1	0.25	1	0.265	0.265	0.28	normal	0.028	0.76
MMP1	MOSFET	sndPA	B	sndPB	VPB	pfet_01v8_hvt	1	1	0.25	1	0.265	0.265	0.28	normal	0.028	0.76
MMP2	MOSFET	sndPB	C	sndPC	VPB	pfet_01v8_hvt	1	1	0.25	1	0.265	0.265	0.28	normal	0.028	0.76
MMP3	MOSFET	sndPC	D	Y	VPB	pfet_01v8_hvt	1	1	0.25	1	0.265	0.265	0.28	normal	0.028	0.76
MMN0	MOSFET	Y	A	net45	VNB	nfet_01v8	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.028	0.76
MMN1	MOSFET	Y	B	net41	VNB	nfet_01v8	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.028	0.76
MMN2	MOSFET	Y	C	net49	VNB	nfet_01v8	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.028	0.76
MI10	MOSFET	Y	D	net53	VNB	nfet_01v8	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.028	0.76
MMN3	MOSFET	net53	D	VGND	VNB	nfet_01v8	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.028	0.76
MI9	MOSFET	net49	C	VGND	VNB	nfet_01v8	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.028	0.76
MI7	MOSFET	net45	A	VGND	VNB	nfet_01v8	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.028	0.76
MI8	MOSFET	net41	B	VGND	VNB	nfet_01v8	1	0.42	0.15	1	0.265	0.265	0.28	normal	0.028	0.76
